VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5YJSA1E2XH,Yakima,Yakima,WA,98908,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,14,262782089,POINT (-120.6027202 46.5965625),PACIFICORP,53077000401
KNDCE3LG6L,Yakima,Yakima,WA,98903,2020,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,14,152747507,POINT (-120.477805 46.553505),PACIFICORP,53077002803
5YJ3E1EB8M,Yakima,Yakima,WA,98908,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,14,176313896,POINT (-120.6027202 46.5965625),PACIFICORP,53077002803
KNDCD3LD2J,Snohomish,Edmonds,WA,98020,2018,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,21,474854215,POINT (-122.37507 47.80807),PUGET SOUND ENERGY INC,53061050501
JTDKARFP5K,Thurston,Olympia,WA,98501,2019,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,22,231185076,POINT (-122.89692 47.043535),PUGET SOUND ENERGY INC,53067010400
5UXTS1C01M,Thurston,Olympia,WA,98501,2021,BMW,X3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,0,22,223772797,POINT (-122.89692 47.043535),PUGET SOUND ENERGY INC,53067010300
1N4BZ1CP3K,Thurston,Olympia,WA,98502,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,22,109584044,POINT (-122.92145 47.045935),PUGET SOUND ENERGY INC,53067010600
KNDJX3AE5G,Snohomish,Edmonds,WA,98020,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,32,158961099,POINT (-122.37507 47.80807),PUGET SOUND ENERGY INC,53061050700
1N4BZ0CP5H,Chelan,Wenatchee,WA,98801,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,12,110066176,POINT (-120.32009 47.42255),PUD NO 1 OF CHELAN COUNTY,53007961102
5YJ3E1EB3K,Kitsap,Kingston,WA,98346,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,23,334167431,POINT (-122.50156 47.8019),PUGET SOUND ENERGY INC,53035090101
